doi,relevant_yn,No
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021039628&partnerID=40&md5=3d484d27755726217d6a8a5c0f025fe3,,2
10.1002/etc.5620030119,,3
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003373255&doi=10.1007%2fBF00310213&partnerID=40&md5=38fbf9bb5e5e6def36ae2595ec10c033,,4
10.1002/zoo.1430040304,,5
10.1002/etc.5620070309,,7
10.1002/etc.5620070507,,8
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024227727&doi=10.2307%2f3800934&partnerID=40&md5=bb0e32dd05eb0c922762ae004cc947e5,,9
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024744840&doi=10.7589%2f0090-3558-25.4.555&partnerID=40&md5=6c103b6aab6c5f99ac172da8351e049e,,10
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024908092&partnerID=40&md5=496ae1246baa2d55113dee6dd4474aaf,,11
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025280180&doi=10.1002%2fjez.1402530204&partnerID=40&md5=783e9f719e93d3dafa56854273144f91,,12
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025632545&doi=10.1111%2fj.1469-7998.1990.tb04018.x&partnerID=40&md5=36566c2c5c0aea8a09f170b108a997a6,,13
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025205772&doi=10.1016%2fS0003-3472%2805%2980737-7&partnerID=40&md5=96c3185ade8fe6773b6b12daf5a3ed35,,14
https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989625554&doi=10.1002%2fjez.1402560516&partnerID=40&md5=770e9843a83c23010e98e28c66b85aed,,15
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025093820&doi=10.7589%2f0090-3558-26.1.1&partnerID=40&md5=7989356350bec5178f2725554fcfe5b1,,16
10.1002/etc.5620090615,,17
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026288339&doi=10.2307%2f3809507&partnerID=40&md5=b0b3c498eeb99e6587573468563351ef,,18
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026046743&doi=10.1007%2fBF00172135&partnerID=40&md5=a02edde037bcdf8fa8baa3b2da3b824e,,19
10.1002/etc.5620100413,,20
10.2307/2937094,,21
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027011439&doi=10.3354%2fmeps088289&partnerID=40&md5=fdf59a0ae15a5760731f7fd033532577,,22
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027866185&doi=10.2307%2f3809069&partnerID=40&md5=683bb215b28f5b6828b09406f6e69a99,,23
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027804770&doi=10.2307%2f3809067&partnerID=40&md5=245aa345b37fcfd21661e802cc1df234,,24
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027675319&doi=10.7589%2f0090-3558-29.4.582&partnerID=40&md5=1b36dad46f3f30ccf7df01dacb4d6322,,25
10.1002/etc.5620120922,,26
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027505467&doi=10.2307%2f3809006&partnerID=40&md5=dc015520066bca922b7ae7792eda1616,,27
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027794955&doi=10.2307%2f3809065&partnerID=40&md5=c25d50ad9fbca71eb7cbb6be29de5fb5,,28
10.1002/etc.5620121119,,29
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028163601&doi=10.1111%2fj.1469-7998.1994.tb06069.x&partnerID=40&md5=7f57ae6efd9fc30b896da867724c942e,,30
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028590668&doi=10.2307%2f3809562&partnerID=40&md5=193bea14dbfbcd227940de71247acc48,,31
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028313894&doi=10.1017%2fS0959270900002744&partnerID=40&md5=8fb837ccd2ae092e0d9a474fa92b39f9,,32
10.1007/BF00183480,,33
10.1007/BF00184425,,34
10.1002/etc.5620140913,,35
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013442709&doi=10.2307%2f4088732&partnerID=40&md5=ecdc526ea97683cd84ab11d75de5819d,,36
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029528132&doi=10.2307%2f3801951&partnerID=40&md5=6e8d6cbcd144bfea675868eb6357ad7c,,37
10.1002/zoo.1430140209,,38
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030305611&partnerID=40&md5=6b00e6ea186104226e5273b8a81c68fe,,39
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030305546&partnerID=40&md5=8f13bfee686672930dbefed5f6fe0b81,,40
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030222564&partnerID=40&md5=7164dedbef8f7537250da5fef49810c6,,41
10.14430/arctic1186,,42
10.1002/etc.5620150926,,43
10.2307/1369147,,44
10.2307/3802233,,45
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030222546&partnerID=40&md5=808b8e4889f888341c37f8153a94b37e,,46
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030556802&partnerID=40&md5=9907cae87c94f0cc42176071be033e82,,47
10.2307/1369502,,48
10.2307/3802047,,49
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000621550&partnerID=40&md5=c6f7b358aae049d7ac794556962d31fa,,50
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030222551&partnerID=40&md5=959c4be6f479348a49d28a2639a62bfc,,51
10.2307/3802386,,52
10.2307/3802225,,53
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000303152&doi=10.2307%2f4088933&partnerID=40&md5=2a6b1d37d6686d1e4e8b814e1e0a6d54,,54
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030535295&partnerID=40&md5=b849a016ebfb66bb75ab72b0771856b9,,55
10.2307/3802072,,56
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030457908&doi=10.2307%2f4088853&partnerID=40&md5=32a42be8a1cd260a10ba66821b78b6ac,,57
,,58
,,59
,,60
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031232353&partnerID=40&md5=6eff54130117f8fdcb46ef3e81682325,,61
10.2307/3802590,,62
10.7589/0090-3558-33.1.158,,63
10.1093/beheco/8.6.595,,64
10.2307/1370470,,65
10.1093/beheco/8.3.340,,66
10.1890/1051-0761(1997)007[0581:NPDOSS]2.0.CO;2,,67
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030905524&partnerID=40&md5=f070caa60ef384a3ab7015aa168cd0a3,,68
10.1897/1551-5028(1997)016<1687:EOGPFA>2.3.CO;2,,69
,,70
,,71
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031418150&partnerID=40&md5=055f6c198d071360081813198d3c1ed6,,72
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032257935&partnerID=40&md5=cce378ca7637da4b4d9848c8cc7d877e,,73
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032017883&partnerID=40&md5=13231dbb3ab1d857d150bd43b5da7be4,,74
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031850914&doi=10.2307%2f4089408&partnerID=40&md5=3d8b08e92b7bef2b4f86e6f85237d646,,75
10.2307/3802012,,76
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032052630&doi=10.1006%2fanbe.1997.0670&partnerID=40&md5=a99833792d1825a06bf4cad41055e127,,77
10.1111/j.1442-9993.1998.tb00750.x,,78
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031713774&partnerID=40&md5=b550708bf5bc6124580df16058653846,,79
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031955109&doi=10.2307%2f4089193&partnerID=40&md5=4534d58ac1f49e005f96d6b448453bdb,,80
10.2307/3802011,,81
10.1897/1551-5028(1998)017<0526:EOAROA>2.3.CO;2,,82
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031954648&partnerID=40&md5=9c81ab51c7e97a60e25d83ec248309be,,83
10.3354/meps165161,,84
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033423924&partnerID=40&md5=ac0ba8edf9966a22c215dc4ad33eca10,,85
10.2307/3802497,,86
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033414432&partnerID=40&md5=004798f5453af268b71a1c3fe4ba2c76,,87
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033452261&doi=10.1080%2f00063659909477231&partnerID=40&md5=cce33bc6ef351954902d74fde155a63b,,88
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033459821&partnerID=40&md5=70becf47d3315295d78e71e867c05057,,89
10.2307/3802524,,90
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033243876&partnerID=40&md5=17f9fca878d30a582979e4d31725343a,,91
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032746260&doi=10.2307%2f4089687&partnerID=40&md5=f79d516e9749add00d92f06ecf7c3b2c,,92
10.2307/1370002,,93
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033381065&doi=10.1071%2fMU99031&partnerID=40&md5=2a69298427f651ab7c4d190e392e6ff7,,94
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032856593&partnerID=40&md5=26acb7677491521ad53de565041496e7,,95
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032738575&doi=10.1674%2f0003-0031%281999%29142%5b0291%3aSOBARP%5d2.0.CO%3b2&partnerID=40&md5=8e3d04e8f13e73c4985150ec77f09e69,,96
10.2307/3802854,,97
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033382869&doi=10.1017%2fS095927090000352X&partnerID=40&md5=8500a4790cec1213be70ec10c1c5beae,,98
,,99
,,100
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034257724&doi=10.1648%2f0273-8570-71.4.702&partnerID=40&md5=4af90822e2d948ec88a31386eae0e773,,101
10.2307/3803252,,102
10.2307/3802995,,103
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034349744&partnerID=40&md5=08104f7483d43547f75c2436bb4071cd,,104
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034007982&doi=10.2307%2f4089711&partnerID=40&md5=dc6f44e1abbb17184e411db292930374,,105
10.2307/3803201,,106
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034347829&doi=10.1648%2f0273-8570-71.3.385&partnerID=40&md5=c7bca980e803b9adad5ce8fc0418071a,,107
10.1007/s004420000445,,108
10.7589/0090-3558-36.2.324,,109
10.1007/PL00008853,,110
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033915238&partnerID=40&md5=bcd7e43764a7d8ebc089de2a37e7f34f,,111
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034349727&doi=10.1648%2f0273-8570-71.1.117&partnerID=40&md5=aa0699c01fca5db8e1efa2ad408e7d92,,112
,,113
10.2307/3803257,,114
10.2307/1370415,,115
,,116
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033838232&doi=10.1676%2f0043-5643%282000%29112%5b0347%3aMATOWH%5d2.0.CO%3b2&partnerID=40&md5=4554bf2e4d29503e987c100e477c449c,,117
10.2307/3802993,,118
10.2307/3803003,,119
10.2307/3802754,,120
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034347834&doi=10.1648%2f0273-8570-71.3.501&partnerID=40&md5=2d89370ba5a74bc7e5f3956ae63e21ba,,121
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033977944&doi=10.1642%2f0004-8038%282000%29117%5b0184%3aEOPDOS%5d2.0.CO%3b2&partnerID=40&md5=bc42e60a15a5e2ba3ab0406e9c982406,,122
10.2307/3802758,,123
,,124
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035635252&doi=10.1648%2f0273-8570-72.2.236&partnerID=40&md5=dba6d0cf700e78e84676af0376acf694,,125
10.1650/0010-5422(2001)103[0481:EOIAAO]2.0.CO;2,,126
10.1890/1051-0761(2001)011[1533:BHCBAM]2.0.CO;2,,127
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035654164&doi=10.1139%2fz01-138&partnerID=40&md5=873530afbc3c53cde5d3f172690d59e6,,128
10.1650/0010-5422(2001)103[0343:MPOAMO]2.0.CO;2,,129
10.1002/etc.5620201234,,130
,,131
https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035734686&doi=10.1676%2f0043-5643%282001%29113%5b0308%3aHRAHUO%5d2.0.CO%3b2&partnerID=40&md5=7bae7a887a0eca87e783f23f3ab5ef62,,132
10.1650/0010-5422(2001)103[0715:FMRTAW]2.0.CO;2,,133
,,134
10.2307/3802903,,135
